key,gmods,col,stat,mpkey,code,section,crn,title,yc_attrs,ci_attrs,description,hours,regnotes,rp_attr,instructordetail_html,meeting_html,final_exam,resources,last_updated,srcdb
69,"Y,1,A,Q,F,C,2,3,7,4,G,K,W,L,8,Z,5,M,6,9,D,X,U",YC,A,2095,AMST 403,01,13250,Introduction to Public Humanities,This course can be applied towards the <i>Humanities and Arts</i> Yale College distributional requirement.,,"<p>Introduction to the various media, topics, debates, and issues framing public humanities. The relationship between knowledge produced in the university and the circulation of ideas among a broader public, including modes of inquiry, interpretation, and presentation. Public history, museum studies, oral and community history, public art, documentary film and photography, public writing and educational outreach, and the socially conscious performing arts.</p>",1,,,"<div class=""instructor-detail"">Ryan Brasseaux</div>","<div class=""meet"">Th 1:30pm-3:20pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
70,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T,E",YC,A,2063,AMST 408,01,11066,Race and Comedy,This course can be applied towards the <i>Humanities and Arts</i> Yale College distributional requirement.,,"<p>Introduction to theories of the ludic and to critical race theory. Ways in which comic modes have been utilized by racialized subjects to represent and issue critiques of the dominant culture. Analysis of stand-up comedy, film, television, and novels.</p>",1,,,"<div class=""instructor-detail"">Albert Laguna</div>","<div class=""meet"">T 3:30pm-5:20pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
71,"Y,1,A,Q,F,C,2,3,7,4,G,K,L,8,Z,5,M,6,9,D,X,U",YC,A,2067,AMST 422,01,11313,Writing Tribal Histories,This course can be applied towards the following Yale College distributional requirements: <ul><li>Humanities and Arts</li><li>Writing</li></ul>,,"<p>Historical overview of American Indian tribal communities, particularly since the creation of the United States. Challenges of working with oral histories, government documents, and missionary records.</p>",1,,,"<div class=""instructor-detail"">Ned Blackhawk</div>","<div class=""meet"">T 1:30pm-3:20pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
72,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T,E",YC,A,2042,AMST 439,01,12861,Fruits of Empire,This course can be applied towards the following Yale College distributional requirements: <ul><li>Humanities and Arts</li><li>Social Sciences</li></ul>,,"<p>Readings, discussions, and research on imperialism and &quot;green gold&quot; and their consequences for the imperial powers and their colonies and neo-colonies. Spatially conceived as a world-system that enmeshes the planet and as earth's latitudes that divide the temperate from the tropical zones, imperialism as discourse and material relations is this seminar's focus together with its implantationsâ€”an empire of plants. Vast plantations of sugar, cotton, tea, coffee, bananas, and pineapples occupy land cultivated by native and migrant workers, and their fruits move from the tropical to the temperate zones, impoverishing the periphery while profiting the core. Fruits of Empire, thus, implicates power and the social formation of race, gender, sexuality, class, and nation.</p>",1,,,"<div class=""instructor-detail"">Gary Okihiro</div>","<div class=""meet"">W 1:30pm-3:20pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
73,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T",YC,A,2095,AMST 451,01,12515,"Religion, War, and the Meaning of America",This course can be applied towards the <i>Humanities and Arts</i> Yale College distributional requirement.,,<p>The relationship between religion and war in American history from colonial beginnings through Vietnam. The religious meanings of Americans at war; the mutually reinforcing influences of nationalism and religion; war as the norm of American national life; the concept of civil religion; biblical and messianic contexts of key U.S. conflicts.</p>,1,,,"<div class=""instructor-detail"">Harry Stout</div>","<div class=""meet"">Th 1:30pm-3:20pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
74,"Z,1,A,Q,F,C,2,3,7,4,G,K,W,L,8,5,M,6,9,D,X,U,Y",YC,A,6096,AMST 463,01,11079,Documentary Film Workshop,,,"<p>A yearlong workshop designed primarily for majors in Film and Media Studies or American Studies who are making documentaries as senior projects.</p>
<p class=""prerequisites"">Seniors in other majors admitted as space permits.</p>",1,,This course meets during the <i>Reading Period</i>: the week between the last week of classes and finals week. Meets Reading Period,"<div class=""instructor-detail"">Charles Musser</div>","<div class=""meet"">T 7pm-10pm</div>
<div class=""meet"">W 10:30am-1:20pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
75,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T,E",YC,A,2067,AMST 469,01,12443,American Progressivism and Its Critics,This course can be applied towards the <i>Social Sciences</i> Yale College distributional requirement.,,"<p>The progressive reform tradition in American politics. The tradition's conceptual underpinnings, social supports, practical manifestations in policy and in new governmental arrangements, and conservative critics. Emphasis on the origins of progressivism in the early decades of the twentieth century, with attention to latter-day manifestations and to changes in the progressive impulse over time.</p>",1,,,"<div class=""instructor-detail"">Stephen Skowronek</div>","<div class=""meet"">T 1:30pm-3:20pm<span class=""meet-room-201803""> in PR77 A001</span></div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
76,"E,1,A,Q,F,C,2,3,7,4,G,L,8,Z,5,M,6,9,X,U,Y",YC,C,1,AMST 471,01,10432,Individual Reading and Research for Juniors and Seniors,,,"<p>Special projects intended to enable the student to cover material not otherwise offered by the program. The course may be used for research or for directed reading, but in either case a term paper or its equivalent is required as evidence of work done. It is expected that the student will meet regularly with the faculty adviser. To apply for admission, a student should submit a prospectus signed by the faculty adviser to the director of undergraduate studies.</p>",1,,,,,HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
77,"E,1,A,Q,F,C,2,3,7,4,G,L,8,Z,5,M,6,9,X,U,Y",YC,A,1,AMST 471,02,13136,Individual Reading and Research for Juniors and Seniors,,,"<p>Special projects intended to enable the student to cover material not otherwise offered by the program. The course may be used for research or for directed reading, but in either case a term paper or its equivalent is required as evidence of work done. It is expected that the student will meet regularly with the faculty adviser. To apply for admission, a student should submit a prospectus signed by the faculty adviser to the director of undergraduate studies.</p>",1,,,"<div class=""instructor-detail"">Albert Laguna</div>",,HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
78,"E,1,A,Q,F,C,2,3,7,4,G,L,8,Z,5,M,6,9,X,U,Y",YC,C,1,AMST 472,01,12668,Individual Reading and Research for Juniors and Seniors,,,"<p>Special projects intended to enable the student to cover material not otherwise offered by the program. The course may be used for research or for directed reading, but in either case a term paper or its equivalent is required as evidence of work done. It is expected that the student will meet regularly with the faculty adviser. To apply for admission, a student should submit a prospectus signed by the faculty adviser to the director of undergraduate studies.</p>",1,,,,,HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
79,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T,E",YC,A,2067,AMST 485,01,12661,"The Question of Music: Music, Critique, and Humanistic Theory",This course can be applied towards the <i>Humanities and Arts</i> Yale College distributional requirement.,,"<p>The European project of the “human sciences”—broadly speaking, of an anthropology or critique of human sociality—took off in the eighteenth century and, from there, saw a continuous unfolding through the next two hundred years. From the first, this project was attached to a musical thinking that is evident in such foundational voices as Vico and Rousseau. But the role of music was not a static one. Instead we can trace the shift from an eighteenth-century view of music as a universal human activity to a nineteenth-century privileging of the European musical achievement (Hanslick, Wagner, Nietzsche), and then, in the twentieth century, to a struggle between Eurocentrism and the reassertion of the postcolonial, global view, in figures from Adorno and Suzanne Langer to Edward Said and Paul Gilroy. Throughout this history, the shifting roles of music posed a challenge to disciplines and modes of thought reliant first and foremost on language. This course examines the dilemmas of music’s position in the human sciences, at once foundational and marginal, and aim to point the way forward to a truly musical human science of the twenty-first century.   </p>",1,,This course meets during the <i>Reading Period</i>: the week between the last week of classes and finals week. Meets Reading Period,"<div class=""instructor-detail"">Michael Denning</div>
<div class=""instructor-detail"">Gary Tomlinson</div>","<div class=""meet"">T 1:30pm-3:20pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
80,"Y,1,A,Q,F,C,2,3,7,4,G,L,8,Z,5,M,6,9,X,U",YC,A,1,AMST 491,01,10433,Senior Project,,,<p>Independent research and proseminar on a one-term senior project. For requirements see under “Senior requirement” in the American Studies program description.</p>,1,,,"<div class=""instructor-detail"">Albert Laguna</div>",,HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
81,"Z,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T,Y,E",YC,A,2058,AMST 493,01,10434,Senior Project for the Intensive Major,,,<p>Independent research and proseminar on a two-term senior project. For requirements see under &quot;Senior requirement&quot;Â in the American Studies program description.</p>,1,,,"<div class=""instructor-detail"">Albert Laguna</div>
<div class=""instructor-detail"">Lee Johnson</div>","<div class=""meet"">M 1:30pm-3:20pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
108,"Y,1,A,Q,F,C,2,3,7,4,G,L,8,Z,5,M,6,9,X,U",YC,A,2027,AMTH 222,01,12319,Linear Algebra with Applications,This course can be applied towards the <i>Quantitative Reasoning</i> Yale College distributional requirement.,YC Math: Algebra/Number Theory,"<p>Matrix representation of linear equations. Gauss elimination. Vector spaces. Linear independence, basis, and dimension. Orthogonality, projection, least squares approximation; orthogonalization and orthogonal bases. Extension to function spaces. Determinants. Eigenvalues and eigenvectors. Diagonalization. Difference equations and matrix differential equations. Symmetric and Hermitian matrices. Orthogonal and unitary transformations; similarity transformations.</p>
<p class=""prerequisites"">After <a href=""/search/?p=MATH%20115"" data-action=""result-detail"" data-group=""code:MATH 115"" >MATH 115</a> or equivalent. May not be taken after <a href=""/search/?p=MATH%20225"" data-action=""result-detail"" data-group=""code:MATH 225"" >MATH 225</a>.</p>",1,,,"<div class=""instructor-detail"">Caglar Uyanik</div>","<div class=""meet"">MWF 10:30am-11:20am</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
109,"Y,1,A,Q,F,C,2,3,7,4,G,L,8,Z,5,M,6,9,X,U",YC,A,2021,AMTH 244,01,12323,Discrete Mathematics,This course can be applied towards the <i>Quantitative Reasoning</i> Yale College distributional requirement.,<ul><li>YC Math: Algebra/Number Theory</li><li>YC Math: Stat/Applied Math</li></ul>,"<p>Basic concepts and results in discrete mathematics: graphs, trees, connectivity, Ramsey theorem, enumeration, binomial coefficients, Stirling numbers. Properties of finite set systems.</p>
<p class=""prerequisites"">Recommended preparation: <a href=""/search/?p=MATH%20115"" data-action=""result-detail"" data-group=""code:MATH 115"" >MATH 115</a> or equivalent.</p>",1,,,"<div class=""instructor-detail"">Ross Berkowitz</div>","<div class=""meet"">TTh 11:35am-12:50pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
110,"Y,1,A,Q,F,C,2,3,7,4,G,L,8,5,M,6,9,X,U",YC,A,2020,AMTH 260,01,12327,Basic Analysis in Function Spaces,This course can be applied towards the <i>Quantitative Reasoning</i> Yale College distributional requirement.,,"<p>Diagonalization of linear operators, with applications in physicsÂ and engineering; calculus of variations; data analysis. <a href=""/search/?p=MATH%20260"" data-action=""result-detail"" data-group=""code:MATH 260"" >MATH 260</a> is a natural continuation of <a href=""/search/?p=PHYS%20301"" data-action=""result-detail"" data-group=""code:PHYS 301"" >PHYS 301</a>.</p>
<p class=""prerequisites"">Prerequisites: <a href=""/search/?p=MATH%20120"" data-action=""result-detail"" data-group=""code:MATH 120"" >MATH 120</a>, and <a href=""/search/?p=MATH%20222"" data-action=""result-detail"" data-group=""code:MATH 222"" >222</a> or <a href=""/search/?p=MATH%20225"" data-action=""result-detail"" data-group=""code:MATH 225"" >225</a>.<br/></p>",1,,,,"<div class=""meet"">TTh 2:30pm-3:45pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
111,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T",YC,A,2020,AMTH 262,01,11917,Computational Tools for Data Science,This course can be applied towards the <i>Quantitative Reasoning</i> Yale College distributional requirement.,,"<p>An introduction to computational tools for data science. The analysis of data using regression, classification, clustering, principal component analysis, independent component analysis, dictionary learning, topic modeling, dimension reduction, and network analysis. Optimization by gradient methods and alternating minimization.   The application of high performance computing and streaming algorithms to the analysis of large data sets.  Prerequisites: linear algebra, multivariable calculus, programming.</p>
<p class=""prerequisites"">Prerequisites: after or concurrently with <a href=""/search/?p=MATH%20222"" data-action=""result-detail"" data-group=""code:MATH 222"" >MATH 222</a>, <a href=""/search/?p=MATH%20225"" data-action=""result-detail"" data-group=""code:MATH 225"" >225</a>, or <a href=""/search/?p=MATH%20231"" data-action=""result-detail"" data-group=""code:MATH 231""  class=""notoffered"">231</a>; after or concurrently with <a href=""/search/?p=MATH%20120"" data-action=""result-detail"" data-group=""code:MATH 120"" >MATH 120</a>, <a href=""/search/?p=MATH%20230"" data-action=""result-detail"" data-group=""code:MATH 230"" >230</a>, or <a href=""/search/?p=ENAS%20151"" data-action=""result-detail"" data-group=""code:ENAS 151"" >ENAS 151</a>; after or concurrently with <a href=""/search/?p=CPSC%20100"" data-action=""result-detail"" data-group=""code:CPSC 100"" >CPSC 100</a>, <a href=""/search/?p=CPSC%20112"" data-action=""result-detail"" data-group=""code:CPSC 112""  class=""notoffered"">112</a>, or <a href=""/search/?p=ENAS%20130"" data-action=""result-detail"" data-group=""code:ENAS 130""  class=""notoffered"">ENAS 130</a>.</p>",1,,,,"<div class=""meet"">TTh 2:30pm-3:45pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
112,"Y,1,Q,F,C,2,3,7,4,G,L,8,5,M,6,9,X,U",YC,A,2030,AMTH 342,01,13149,Linear Systems,This course can be applied towards the <i>Quantitative Reasoning</i> Yale College distributional requirement.,,"<p>Introduction to finite-dimensional, continuous, and discrete-time linear dynamical systems. Exploration of the basic properties and mathematical structure of the linear systems used for modeling dynamical processes in robotics, signal and image processing, economics, statistics, environmental and biomedical engineering, and control theory.</p>
<p class=""prerequisites"">Prerequisite: <a href=""/search/?p=MATH%20222"" data-action=""result-detail"" data-group=""code:MATH 222"" >MATH 222</a> or permission of instructor.</p>",1,,,"<div class=""instructor-detail"">A. Stephen Morse</div>","<div class=""meet"">MW 1pm-2:15pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
113,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T",YC,A,2027,AMTH 428,01,11168,Science of Complex Systems,This course can be applied towards the following Yale College distributional requirements: <ul><li>Quantitative Reasoning</li><li>Sciences</li></ul>,,"<p>Introduction to the quantitative analysis of systems with many degrees of freedom. Fundamental components in the science of complex systems, including how to simulate complex systems, how to analyze model behaviors, and how to validate models using observations. Topics include cellular automata, bifurcation theory, deterministic chaos, self-organized criticality, renormalization, and inverse theory.</p>
<p class=""prerequisites"">Prerequisite: <a href=""/search/?p=PHYS%20301"" data-action=""result-detail"" data-group=""code:PHYS 301"" >PHYS 301</a>, <a href=""/search/?p=MATH%20247"" data-action=""result-detail"" data-group=""code:MATH 247""  class=""notoffered"">MATH 247</a>, or equivalent.</p>",1,,,"<div class=""instructor-detail"">Jun Korenaga</div>","<div class=""meet"">MWF 10:30am-11:20am</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
114,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T,E",YC,A,2035,AMTH 437,01,11923,Optimization Techniques,This course can be applied towards the <i>Quantitative Reasoning</i> Yale College distributional requirement.,,"<p>Fundamental theory and algorithms of optimization, emphasizing convex optimization. The geometry of convex sets, basic convex analysis, the principle of optimality, duality. Numerical algorithms: steepest descent, Newton's method, interior point methods, dynamic programming, unimodal search. Applications from engineering and the sciences.</p>
<p class=""prerequisites"">Prerequisites: <a href=""/search/?p=MATH%20120"" data-action=""result-detail"" data-group=""code:MATH 120"" >MATH 120</a> and <a href=""/search/?p=MATH%20222"" data-action=""result-detail"" data-group=""code:MATH 222"" >222</a>, or equivalents. May not be taken after <a href=""/search/?p=AMTH%20237"" data-action=""result-detail"" data-group=""code:AMTH 237""  class=""notoffered"">AMTH 237</a>.</p>",1,,,"<div class=""instructor-detail"">Sekhar Tatikonda</div>","<div class=""meet"">TTh 1pm-2:15pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
115,"E,1,A,F,C,2,3,7,4,G,L,8,Z,5,M,6,9,X,U",YC,A,1,AMTH 480,01,10490,Directed Reading,,,<p>Individual study for qualified students who wish to investigate an area of applied mathematics not covered in regular courses. A student must be sponsored by a faculty member who sets the requirements and meets regularly with the student. Requires a written plan of study approved by the faculty adviser and the director of undergraduate studies.</p>,1,,,"<div class=""instructor-detail"">John Wettlaufer</div>",,HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
116,"E,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T,Y",YC,A,1,AMTH 482,01,10491,Research Project,,,<p>Individual research. Requires a faculty supervisor and the permission of the director of undergraduate studies. The student must submit a written report about the results of the project. May be taken more than once for credit.</p>,1,,,"<div class=""instructor-detail"">John Wettlaufer</div>",,HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
117,"Y,1,A,Q,F,C,2,3,7,4,G,K,W,L,8,Z,5,H,M,6,9,X,I,U,E",YC,A,1,AMTH 491,01,10492,Senior Project,,,<p>Individual research that fulfills the senior requirement.Â Requires a faculty supervisor and the permission of the director of undergraduate studies. The student must submit a written report about the results of the project.</p>,1,,,"<div class=""instructor-detail"">John Wettlaufer</div>",,HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
121,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T",YC,A,1,ANTH 116,01,10445,Introduction to Biological Anthropology,This course can be applied towards the following Yale College distributional requirements: <ul><li>Sciences</li><li>Social Sciences</li></ul>,,"<p>Introduction to human and primate evolution, primate behavior, and human biology. Topics include a review of principles of evolutionary biology and basic molecular and population genetics; the behavior, ecology, and evolution of nonhuman primates; the fossil and archaeological record for human evolution; the origin of modern humans; biological variation in living humans; and the evolution of human behavior.</p>",1,,,"<div class=""instructor-detail"">David Watts</div>",,HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
122,"Y,1,A,Q,F,C,2,3,7,4,G,L,8,5,M,6,9,D,X,U",YC,A,2022,ANTH 119,01,14053,Law as Culture,This course can be applied towards the <i>Social Sciences</i> Yale College distributional requirement.,,"<p>Introduction to anthropological understanding of what law is, how it holds its authority, and how it is shaped by cultural assumptions about justice, rights, and morality. Readings from classic and contemporary texts in legal and political anthropology. Cultural dimensions of law and its changing relationship to discipline, power, and governance.</p>",1,,,"<div class=""instructor-detail"">Louisa Lombard</div>","<div class=""meet"">MW 10:30am-11:20am</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
123,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T",YC,A,2059,ANTH 140,01,10446,The Corporation,This course can be applied towards the following Yale College distributional requirements: <ul><li>Humanities and Arts</li><li>Social Sciences</li></ul>,,"<p>Survey of the rise, diversity, and power of the capitalist corporation in global contexts, with a focus on the 20th and 21st centuries. Topics include: the corporation as legal entity and the social and cultural consequences of this status; corporations in the colonial era; relationships among corporations, states, and non-governmental organizations in Western and non-Western contexts; anti-corporate critique and response; corporate social responsibility; and race, gender, and indigeneity.</p>",1,,,"<div class=""instructor-detail"">Douglas Rogers</div>","<div class=""meet"">MW 1:30pm-2:20pm</div>
<div class=""meet"">HTBA</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
124,"Y,1,A,Q,F,C,2,3,7,4,G,L,8,5,M,6,9,D,X,U",YC,A,2038,ANTH 171,01,13270,Great Civilizations of the Ancient World,This course can be applied towards the <i>Social Sciences</i> Yale College distributional requirement.,YC Anthropology: Archaeology ,"<p>A survey of selected prehistoric and historical cultures through examination of archaeological sites and materials. Emphasis on the methodological and theoretical approaches by which archaeologists recover, analyze, and interpret the material remains of the past.</p>",1,,,"<div class=""instructor-detail"">Jargalan Burentogtokh</div>","<div class=""meet"">MW 9am-10:15am</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
125,"Y,1,A,Q,F,C,2,3,7,4,G,K,W,L,8,Z,5,H,M,6,9,D,X,I,U",YC,A,2108,ANTH 207,01,13735,The Sustainable Preservation of Cultural Heritage,This course can be applied towards the <i>Social Sciences</i> Yale College distributional requirement.,,"<p>Understanding the complex factors that challenge the preservation of cultural heritage through introduction to scientific techniques for condition assessment and preservation, including materials analysis and digitization tools in the lab and in the field. Students learn about collection care and the science used to detect forgeries and fakes; international legal and professional frameworks that enable cross-cultural efforts to combat trafficking in antiquities; and how to facilitate preservation.</p>",1,,This course meets during the <i>Reading Period</i>: the week between the last week of classes and finals week. Meets Reading Period,"<div class=""instructor-detail"">Stefan Simon</div>","<div class=""meet"">F 9:25am-11:15am</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
126,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T,E",YC,A,2020,ANTH 230,01,10448,Evolutionary Biology of Women's Reproductive Lives,This course can be applied towards the <i>Sciences</i> Yale College distributional requirement.,,"<p>Evolutionary and biosocial perspectives on female reproductive lives. Physiological, ecological, and social aspects of women's development from puberty through menopause and aging, with special attention to reproductive processes such as pregnancy, birth, and lactation. Variation in female life histories in a variety of cultural and ecological settings. Examples from both traditional and modern societies.</p>",1,,,"<div class=""instructor-detail"">Claudia Valeggia</div>","<div class=""meet"">TTh 2:30pm-3:45pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
127,"Y,1,A,Q,F,C,2,3,7,4,G,L,8,Z,5,M,6,9,D,X,U",YC,A,2020,ANTH 232,01,10450,Ancient Civilizations of the Andes,This course can be applied towards the <i>Social Sciences</i> Yale College distributional requirement.,YC Anthropology: Archaeology ,<p>Survey of the archaeological cultures of Peru and Bolivia from the earliest settlement through the late Inca state.</p>,1,,,"<div class=""instructor-detail"">Richard Burger</div>","<div class=""meet"">TTh 2:30pm-3:45pm<span class=""meet-room-201803""> in HLH51 101</span></div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
128,"Y,1,A,Q,F,C,2,3,7,4,G,K,L,8,Z,5,M,6,9,D,X,U",YC,A,2052,ANTH 244,01,13964,Modern Southeast Asia,This course can be applied towards the <i>Social Sciences</i> Yale College distributional requirement.,,"<p>Introduction to the peoples and cultures of Southeast Asia, with special emphasis on the challenges of modernization, development, and globalization. Southeast Asian history, literature, arts, belief systems, agriculture, industrialization and urbanization, politics, ecological challenges, and economic change.</p>",1,,,,"<div class=""meet"">MW 11:35am-12:50pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
129,"Y,1,A,Q,F,C,2,3,7,4,G,K,W,L,8,Z,5,H,M,6,9,D,X,I,U",YC,A,2035,ANTH 254,01,10453,"Japan: Culture, Society, Modernity",This course can be applied towards the following Yale College distributional requirements: <ul><li>Social Sciences</li><li>Writing</li></ul>,YC Anthropology: Sociocultural,"<p>Introduction to Japanese society and culture. The historical development of Japanese society; family, work, and education in contemporary Japan; Japanese aesthetics; and psychological, sociological, and cultural interpretations of Japanese behavior.</p>",1,,,"<div class=""instructor-detail"">Sarah LeBaron von Baeyer</div>","<div class=""meet"">TTh 1pm-2:15pm</div>
<div class=""meet"">HTBA</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
130,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T",YC,A,2033,ANTH 300,01,10454,Primate Behavior and Ecology,This course can be applied towards the following Yale College distributional requirements: <ul><li>Sciences</li><li>Social Sciences</li></ul>,,"<p>Socioecology of primates compared with that of other mammals, emphasizing both general principles and unique primate characteristics. Topics include life-history strategies, feeding ecology, mating systems, and ecological influences on social organization.</p>",1,,,"<div class=""instructor-detail"">Eduardo Fernandez-Duque</div>","<div class=""meet"">TTh 9am-10:15am</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
131,"Y,1,A,Q,F,C,2,3,7,4,G,K,W,L,8,Z,5,H,M,6,9,D,X,I,U",YC,A,2063,ANTH 303,01,10457,Field Methods in Cultural Anthropology,This course can be applied towards the following Yale College distributional requirements: <ul><li>Social Sciences</li><li>Writing</li></ul>,YC Anthropology: Sociocultural,"<p>The fundamentals of cultural anthropology methods. The foundations of fieldwork approaches, including methods, theories, and the problem of objectivity.</p>",1,,,"<div class=""instructor-detail"">Sarah LeBaron von Baeyer</div>","<div class=""meet"">T 3:30pm-5:20pm</div>
<div class=""meet"">HTBA</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
132,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T,E",YC,A,2417,ANTH 316L,01,12904,Introduction to Archaeological Laboratory Sciences,,,"<p>Introduction to techniques of archaeological laboratory analysis, with quantitative data styles and statistics appropriate to each. Topics include dating of artifacts, sourcing of ancient materials, remote sensing, and microscopic and biochemical analysis. Specific techniques covered vary from year to year.</p>",1,,,,"<div class=""meet"">W 2:30pm-5:30pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
